Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1523;28/07/2016;35;6;4;20;37;12;1.505.46800;0;;;000;SIM;187.29893;13;3.51405;607;8601;11754;222;35;6;9;20;19;38;0;000;8;5.1393;561;9306;11673;223;350.00000;4.971.57358
1524;30/07/2016;7;35;49;34;21;2;1.627.39000;0;;;000;SIM;389.76647;10;4.93823;792;7125;13714;205;31;29;13;41;7;20;0;000;18;2.4691099999999997;764;7387;13479;209;550.00000;5.050.58533
1525;02/08/2016;47;33;17;31;15;6;1.919.99600;0;;;000;SIM;628.63783;20;2.9130700000000003;962;6921;16106;206;11;49;23;1;21;43;0;000;11;4.76684;771;8636;14499;229;800.00000;5.143.80345
1526;04/08/2016;43;15;7;25;5;3;1.784.82400;1;MONTE CARMELO;MG;791.11657;NÃO;59.57554;13;4.166119999999999;1173;5276;19294;160;39;15;12;6;8;28;0;000;10;4.87436;833;7430;15928;194;200.00000;5.230.45882
1527;06/08/2016;18;10;9;33;27;15;1.622.78000;0;;;000;SIM;261.46953;11;4.47659;952;5911;15810;177;45;47;46;5;31;30;0;000;12;3.6931800000000004;577;9753;11343;248;500.00000;5.309.24674
1528;09/08/2016;30;16;34;13;33;23;1.735.89000;0;;;000;SIM;477.43582;6;8.779119999999999;610;9868;13379;224;11;31;3;5;4;22;0;000;7;6.772460000000001;840;7166;15435;195;650.00000;5.393.52630
1529;11/08/2016;21;43;33;12;44;28;1.607.81400;0;;;000;SIM;677.46785;4;12.19708;668;8347;12656;220;5;29;2;9;27;14;0;000;23;1.9091099999999999;1068;5220;17024;163;1.000.00000;5.471.58760
1530;13/08/2016;35;23;41;48;32;24;1.791.91400;0;;;000;SIM;900.40422;8;6.7968399999999995;749;8296;14532;213;9;37;4;23;18;7;0;000;25;1.9574900000000002;1047;5935;17174;180;1.100.00000;5.558.58719
1531;16/08/2016;48;13;9;42;3;47;1.831.77200;0;;;000;SIM;1.128.29941;15;3.7056199999999997;968;6562;18068;175;2;21;44;50;36;3;0;000;17;2.9426900000000002;691;9193;14685;216;1.300.00000;5.647.52193
1532;18/08/2016;24;16;38;22;15;18;1.767.18800;0;;;000;SIM;1.348.15956;19;2.82234;943;6498;14601;209;5;13;12;28;14;16;0;000;21;2.29819;1025;5979;18094;169;1.500.00000;5.733.32105
1533;20/08/2016;46;14;4;2;34;33;1.751.37200;0;;;000;SIM;1.566.05200;13;4.08804;729;8331;15135;200;46;4;44;6;17;7;0;000;16;2.98938;731;8308;15027;202;1.800.00000;5.818.35227
1534;23/08/2016;26;24;7;36;31;10;2.073.07800;0;;;000;SIM;1.823.96867;10;6.29065;713;10083;16282;220;25;21;6;29;13;50;0;000;22;2.57345;1124;6396;18524;194;2.100.00000;5.919.00271
1535;25/08/2016;12;48;40;15;29;39;1.947.99000;0;;;000;SIM;2.066.32283;12;4.9259;629;10740;13600;248;42;39;20;21;29;26;0;000;10;5.31997;584;11567;12707;265;2.300.00000;6.013.57998
1536;27/08/2016;8;28;27;3;50;39;2.095.97800;0;;;000;SIM;2.327.08854;9;7.06682;841;8642;17298;210;50;42;1;40;48;3;0;000;7;8.17732;803;9051;15350;236;2.500.00000;6.115.34224
1537;30/08/2016;7;19;21;4;37;16;2.158.31600;0;;;000;SIM;2.595.60987;17;3.8525300000000002;1229;6090;20591;181;47;3;7;41;45;26;0;000;27;2.1831;1051;7121;19069;196;2.800.00000;6.220.13109
1538;01/09/2016;39;15;13;36;46;48;2.243.29600;0;;;000;SIM;2.874.70377;15;4.53811;963;8078;18954;205;39;43;31;2;34;38;0;000;11;5.56951;808;9628;15865;245;3.000.00000;6.329.04581
1539;03/09/2016;33;30;18;9;11;2;2.330.68400;0;;;000;SIM;3.164.66983;27;2.61939;1245;6492;21763;185;35;9;45;1;43;49;0;000;20;3.18255;937;8626;19303;209;3.400.00000;6.442.20334
1540;06/09/2016;4;20;41;12;30;19;2.175.29000;0;;;000;SIM;3.435.30294;12;5.5006699999999995;967;7801;18041;209;11;19;32;5;3;33;0;000;27;2.20027;1333;5659;23648;159;3.700.00000;6.547.81629
