Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time_Coração;Valor_Arrecadado;Ganhadores_7_Números;Cidade;UF;Ganhadores_6_Números;Ganhadores_5_Números;Ganhadores_4_Números;Ganhadores_3_Números;Ganhadores_Time_Coração;Valor_Rateio_7_Números;Valor_Rateio_6_Números;Valor_Rateio_5_Números;Valor_Rateio_4_Números;Valor_Rateio_3_Números;Valor_Time_Coração;Valor_Acumulado;Estimativa_Premio
135;25/08/2010;23;49;62;8;9;55;58;JUVENTUS/SP;1.640.91200;0;;;5;194;3295;31719;6067;000;17.95575;66110.0;600;200;500;9.181.98754;9.400.00000
136;28/08/2010;13;11;52;22;41;3;36;OPERARIO/MS;2.196.03000;0;;;7;197;4515;42069;6559;000;17.32302;87934.0;600;200;500;9.485.14032;9.700.00000
137;01/09/2010;15;32;50;70;58;71;26;MIXTO/MT;1.771.82400;0;;;1;108;2535;25923;6745;000;99.99611999999999;1.3227;600;200;500;9.735.13063;10.000.00000
138;04/09/2010;60;18;17;33;71;40;34;TREZE/PB;2.411.18000;0;;;4;185;3985;39657;12630;000;32.99691;1.0192;600;200;500;10.065.09971;10.200.00000
139;08/09/2010;61;11;27;35;31;44;1;RIO BRANCO/AC;1.985.62400;0;;;5;161;3239;32005;5385;000;22.48451;99753.0;600;200;500;10.623.87911;10.800.00000
140;11/09/2010;27;47;26;74;25;66;36;BANGU/RJ;3.241.56200;0;;;6;233;5069;51290;14591;000;29.98729;1.10314;600;200;500;11.073.68844;11.300.00000
141;15/09/2010;26;63;55;47;62;72;21;CRUZEIRO/MG;2.743.51000;1;AMERICANA;SP;2;241;4423;41709;35450;11.414.87145;68.23661;80896.0;600;200;500;000;150.00000
142;18/09/2010;55;65;76;79;40;61;80;SANTO ANDRÉ/SP;1.417.52600;0;;;2;92;1683;18576;4879;000;40.62919;1.26177;600;200;500;203.14594;300.00000
143;22/09/2010;61;4;5;60;26;62;1;ITUANO/SP;941.81400;0;;;3;97;1746;16881;3946;000;17.23244;76137.0;600;200;500;332.38919;450.00000
144;25/09/2010;12;32;61;31;75;80;70;SÃO RAIMUNDO/AM;1.202.40600;0;;;1;62;1436;16143;3317;000;69.38677;1.11914;600;200;500;765.22582;900.00000
145;29/09/2010;67;35;2;55;74;75;65;ATLÉTICO/GO;927.62400;0;;;1;70;1313;13106;3521;000;52.50168000000001;1.07146;600;200;500;896.48004;1.000.00000
146;02/10/2010;27;79;46;56;15;43;53;SANTO ANDRÉ/SP;1.258.07800;0;;;2;111;2305;21738;3995;000;35.10044;90348.0;600;200;500;1.071.98224;1.200.00000
147;06/10/2010;49;61;78;70;69;12;76;SERGIPE/SE;965.74600;0;;;3;50;1405;13900;2795;000;18.38845;1.10331;600;200;500;1.209.89560;1.350.00000
148;09/10/2010;70;30;27;39;49;73;78;RIO BRANCO/ES;1.320.82800;0;;;2;85;1725;18606;3733;000;37.89477;1.27377;600;200;500;1.399.36946;1.500.00000
149;13/10/2010;13;29;61;63;62;15;46;SÃO RAIMUNDO/AM;885.73800;0;;;0;66;1406;14407;2584;000;0.0;1.08263;600;200;500;1.726.26913;1.850.00000
150;16/10/2010;8;63;61;10;17;40;79;RORAIMA/RR;1.354.38600;0;;;3;95;2268;22562;3315;000;25.559829999999998;1.15307;600;200;500;1.917.96783;2.000.00000
151;20/10/2010;1;79;65;41;62;47;45;JUVENTUDE/RS;996.23800;0;;;3;57;1450;14982;5564;000;18.28333;1.37468;600;200;500;2.055.09274;2.100.00000
152;23/10/2010;20;8;2;65;16;27;51;BOTAFOGO/RJ;1.356.52400;0;;;4;158;2727;23964;19628;000;16.154989999999998;58426.0;600;200;500;2.216.64261;2.300.00000
153;27/10/2010;3;46;15;10;80;57;20;SÃO CAETANO/SP;1.061.23600;0;;;2;147;2788;23709;3737;000;28.37363;55147.0;600;200;500;2.358.51075;2.500.00000
154;30/10/2010;14;22;1;6;36;19;52;PALMAS/TO;1.441.85000;0;;;6;249;3434;28668;4877;000;13.088280000000001;45054.0;600;200;500;2.720.54802;2.800.00000
155;03/11/2010;28;23;55;48;71;21;67;CSA/AL;1.019.91200;0;;;0;73;1724;17350;2883;000;0.0;1.12246;600;200;500;2.921.30128;3.000.00000
156;06/11/2010;77;50;49;70;27;69;19;SANTO ANDRÉ/SP;1.578.88200;0;;;4;172;3037;28583;5587;000;21.8037;72437.0;600;200;500;3.139.33823;3.300.00000
157;10/11/2010;26;67;29;54;78;63;73;AMERICANO/RJ;1.216.09600;0;;;2;97;1911;18552;3460;000;34.54739;1.01759;600;200;500;3.312.07518;3.500.00000
158;13/11/2010;35;30;9;26;28;19;53;RORAIMA/RR;1.548.86400;0;;;4;179;3491;30315;3834;000;21.4106;68349.0;600;200;500;3.526.18119;3.700.00000
159;17/11/2010;12;76;29;56;70;2;28;BRASILIENSE/DF;1.184.51000;0;;;1;79;1836;19222;3827;000;66.67915;1.20577;600;200;500;3.875.87366;4.000.00000
160;20/11/2010;71;34;35;45;55;16;7;FLAMENGO/RJ;1.555.20200;0;;;4;86;2529;26035;44987;000;14.812489999999999;98421.0;600;200;500;4.023.99854;4.200.00000
161;24/11/2010;55;70;56;47;80;59;52;FIGUEIRENSE/SC;1.290.36400;0;;;1;87;2399;22019;4739;000;71.60166;1.17572;600;200;500;4.203.00269;4.400.00000
162;27/11/2010;50;10;23;47;44;34;72;PALMEIRAS/SP;1.637.47400;0;;;4;140;2722;28348;28101;000;18.88968;77100.0;600;200;500;4.391.89945;4.500.00000
163;01/12/2010;23;62;27;80;22;77;51;SANTA CRUZ/PE;1.360.73600;0;;;3;104;2256;22936;7430;000;24.70443;1.01803;600;200;500;4.577.18265;4.900.00000
164;04/12/2010;31;36;10;63;33;7;49;CSA/AL;1.763.17800;0;;;12;232;3758;34085;4684;000;8.13078;60079.0;600;200;500;5.010.15252;5.200.00000
165;08/12/2010;39;31;67;45;13;62;80;PONTE PRETA/SP;1.531.21200;0;;;7;160;2696;25871;6707;000;12.05809;75363.0;600;200;500;5.221.16910;5.400.00000
166;11/12/2010;4;75;51;72;48;71;53;REMO/PA;1.950.04600;0;;;4;152;3321;32881;8388;000;26.928759999999997;1.01235;600;200;500;5.490.45670;5.700.00000
167;15/12/2010;59;29;40;24;8;10;30;PARANÁ/PR;1.516.20000;0;;;4;165;2866;28330;5270;000;20.90361;72393.0;600;200;500;5.699.49280;5.900.00000
168;18/12/2010;79;74;47;31;4;20;15;TREZE/PB;1.881.99200;0;;;6;191;3318;32327;9385;000;17.13202;76882.0;600;200;500;5.956.47307;6.150.00000
169;22/12/2010;66;23;39;63;24;51;12;SAMPAIO CORRÊA/MA;1.576.29800;0;;;3;123;2641;26797;4777;000;29.4827;1.0272700000000001;600;200;500;6.411.08147;6.600.00000
170;24/12/2010;20;55;64;27;56;11;51;LONDRINA/PR;1.371.91800;0;;;1;102;2348;23806;6296;000;75.30632;1.05471;600;200;500;6.599.34727;6.750.00000
171;29/12/2010;9;71;55;64;26;23;35;SANTA CRUZ/PE;1.945.67000;0;;;6;191;3685;35134;9189;000;17.65599;79234.0;600;200;500;6.864.18709;6.900.00000
172;31/12/2010;57;26;47;74;12;32;13;SANTO ANDRÉ/SP;1.791.37000;1;GOIÂNIA;GO;3;147;3223;31636;4387;7.116.00691;33.57598;97889.0;600;200;500;000;150.00000
173;05/01/2011;70;34;10;68;6;74;59;TREZE/PB;798.20600;0;;;1;42;1158;12357;4047;000;44.13889;1.05093;600;200;500;110.34722;230.00000
174;08/01/2011;35;48;1;4;14;24;3;PAYSANDU/PA;1.006.76200;0;;;2;140;2357;21025;3842;000;27.1396;55386.0;600;200;500;436.23935;550.00000
175;12/01/2011;66;13;30;59;5;32;67;XV NOV. PIRACICABA/SP;838.00800;0;;;1;68;1315;13774;1888;000;47.6848;1.00178;600;200;500;555.45133;650.00000
176;15/01/2011;66;25;80;40;34;50;52;PALMAS/TO;1.059.40600;0;;;2;66;1790;17047;3634;000;29.70259;1.28582;600;200;500;703.96430;800.00000
177;19/01/2011;25;34;30;62;59;80;12;RORAIMA/RR;871.77600;0;;;1;103;1660;15944;2196;000;48.74646;67609.0;600;200;500;825.83044;900.00000
178;22/01/2011;27;39;80;71;50;11;72;IPATINGA/MG;1.091.65400;0;;;2;95;1849;18673;4480;000;30.192459999999997;90804.0;600;200;500;976.79273;1.100.00000
179;26/01/2011;1;38;51;68;63;60;69;MIXTO/MT;883.80800;0;;;0;53;1139;12394;3702;000;0.0;1.34497;600;200;500;1.284.49846;1.450.00000
180;29/01/2011;56;36;16;73;35;32;74;BOTAFOGO/RJ;1.023.45000;0;;;1;87;1589;15864;13786;000;50.4833;82895.0;600;200;500;1.410.70671;1.500.00000
181;02/02/2011;15;6;63;33;80;32;54;RIVER/PI;973.67800;0;;;1;73;1658;17116;3919;000;53.77636;1.05237;600;200;500;1.545.14762;1.650.00000
182;05/02/2011;37;3;30;61;51;2;57;UNIÃO SÃO JOÃO/SP;1.270.31000;0;;;1;74;1901;19768;3630;000;72.13509;1.39256;600;200;500;1.725.48533;1.900.00000
183;09/02/2011;39;36;51;71;24;32;16;MOTO CLUBE/MA;1.051.43600;0;;;0;102;1919;17770;4938;000;0.0;80767.0;600;200;500;1.927.32444;2.100.00000
184;12/02/2011;55;25;36;59;62;48;74;NACIONAL/AM;1.307.16000;0;;;5;158;2505;22688;4105;000;14.57015;65868.0;600;200;500;2.262.90827;2.450.00000
185;16/02/2011;41;62;59;26;7;45;50;PAULISTA/SP;1.099.76400;0;;;2;91;1656;17376;2623;000;31.366190000000003;98480.0;600;200;500;2.419.73923;2.500.00000
186;19/02/2011;30;55;13;29;31;75;34;AMÉRICA/RJ;1.357.46600;0;;;3;120;2712;24709;5137;000;24.87611;88843.0;600;200;500;2.606.31000;2.700.00000
187;23/02/2011;76;80;30;7;11;61;77;AMÉRICA/RJ;1.133.54000;0;;;4;107;2078;19301;4261;000;15.716870000000002;83935.0;600;200;500;2.763.47869;2.900.00000
188;26/02/2011;78;79;29;27;77;73;28;SÃO PAULO/SP;1.462.79000;0;;;7;168;2631;23221;25289;000;9.68421;57644.0;600;200;500;2.932.95233;3.000.00000
189;02/03/2011;53;20;17;31;12;27;35;A B C/RN;1.285.52400;0;;;5;139;2761;24861;10733;000;13.198870000000001;67825.0;600;200;500;3.264.94415;3.400.00000
